"REF_DATE","GEO","DGUID","Month of birth","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Canada, place of residence of mother","2016A000011124","Total, month of birth","Number of live births","Number","223","units","0","v21400536","1.1.1","402533","","","","0"
"1992","Canada, place of residence of mother","2016A000011124","Total, month of birth","Number of live births","Number","223","units","0","v21400536","1.1.1","398643","","","","0"
"1993","Canada, place of residence of mother","2016A000011124","Total, month of birth","Number of live births","Number","223","units","0","v21400536","1.1.1","388394","","","","0"
"1994","Canada, place of residence of mother","2016A000011124","Total, month of birth","Number of live births","Number","223","units","0","v21400536","1.1.1","385114","","","","0"
"1995","Canada, place of residence of mother","2016A000011124","Total, month of birth","Number of live births","Number","223","units","0","v21400536","1.1.1","378016","","","","0"
"1996","Canada, place of residence of mother","2016A000011124","Total, month of birth","Number of live births","Number","223","units","0","v21400536","1.1.1","366200","","","","0"
"1997","Canada, place of residence of mother","2016A000011124","Total, month of birth","Number of live births","Number","223","units","0","v21400536","1.1.1","348598","","","","0"
"1998","Canada, place of residence of mother","2016A000011124","Total, month of birth","Number of live births","Number","223","units","0","v21400536","1.1.1","342418","","","","0"
"1999","Canada, place of residence of mother","2016A000011124","Total, month of birth","Number of live births","Number","223","units","0","v21400536","1.1.1","337249","","","","0"
"2000","Canada, place of residence of mother","2016A000011124","Total, month of birth","Number of live births","Number","223","units","0","v21400536","1.1.1","327882","","","","0"
"2001","Canada, place of residence of mother","2016A000011124","Total, month of birth","Number of live births","Number","223","units","0","v21400536","1.1.1","333744","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, January","Number of live births","Number","223","units","0","v21400538","1.2.1","32150","","","","0"
"1992","Canada, place of residence of mother","2016A000011124","Month of birth, January","Number of live births","Number","223","units","0","v21400538","1.2.1","31974","","","","0"
"1993","Canada, place of residence of mother","2016A000011124","Month of birth, January","Number of live births","Number","223","units","0","v21400538","1.2.1","30989","","","","0"
"1994","Canada, place of residence of mother","2016A000011124","Month of birth, January","Number of live births","Number","223","units","0","v21400538","1.2.1","30265","","","","0"
"1995","Canada, place of residence of mother","2016A000011124","Month of birth, January","Number of live births","Number","223","units","0","v21400538","1.2.1","29975","","","","0"
"1996","Canada, place of residence of mother","2016A000011124","Month of birth, January","Number of live births","Number","223","units","0","v21400538","1.2.1","29410","","","","0"
"1997","Canada, place of residence of mother","2016A000011124","Month of birth, January","Number of live births","Number","223","units","0","v21400538","1.2.1","28408","","","","0"
"1998","Canada, place of residence of mother","2016A000011124","Month of birth, January","Number of live births","Number","223","units","0","v21400538","1.2.1","27201","","","","0"
"1999","Canada, place of residence of mother","2016A000011124","Month of birth, January","Number of live births","Number","223","units","0","v21400538","1.2.1","26956","","","","0"
"2000","Canada, place of residence of mother","2016A000011124","Month of birth, January","Number of live births","Number","223","units","0","v21400538","1.2.1","27228","","","","0"
