Player,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Spencer Abbott,R,L,1988-04-30,Hamilton,ON,CAN,CAN,69,170,--,--,--,20132014,N,2,0,0,0
Justin Abdelkader,L,L,1987-02-25,Muskegon,MI,USA,USA,74,213,2005,2,42,20072008,N,735,106,146,252
Pontus Aberg,R,L,1993-09-23,Stockholm,--,SWE,SWE,72,194,2012,2,37,20162017,N,132,17,27,44
Vitaly Abramov,L,L,1998-05-08,Chelyabinsk,--,RUS,RUS,70,180,2016,3,65,20182019,N,3,1,0,1
Noel Acciari,R,C,1991-12-01,Johnston,RI,USA,USA,70,209,--,--,--,20152016,N,286,42,27,69
Will Acton,L,C,1987-07-16,Edina,MN,USA,USA,75,202,--,--,--,20132014,N,33,3,2,5
Luke Adam,L,C,1990-06-18,St. John's,NL,CAN,CAN,74,207,2008,2,44,20102011,N,90,15,11,26
Craig Adams,R,R,1977-04-26,Seria,--,BRN,CAN,72,200,1996,9,223,20002001,N,444,18,52,70
Calen Addison,R,D,2000-04-11,Brandon,MB,CAN,CAN,71,180,2018,2,53,20202021,N,3,0,0,0
Maxim Afinogenov,L,R,1979-09-04,Moscow,--,RUS,RUS,72,190,1997,3,69,19992000,N,82,24,37,61
Kenny Agostino,L,L,1992-04-30,Morristown,NJ,USA,USA,72,204,2010,5,140,20132014,N,86,8,22,30
Andrew Agozzino,L,L,1991-01-03,Kleinburg,ON,CAN,CAN,70,187,--,--,--,20142015,N,46,2,7,9
Jack Ahcan,L,D,1997-05-18,Savage,MN,USA,USA,68,178,--,--,--,20202021,N,2,0,0,0
Sebastian Aho,L,C,1997-07-26,Rauma,--,FIN,FIN,72,176,2015,2,35,20162017,N,362,145,173,318
Sebastian Aho,L,D,1996-02-17,Umea,--,SWE,SWE,70,184,2017,5,139,20172018,N,25,2,4,6
Jason Akeson,R,R,1990-06-03,Ottawa,ON,CAN,CAN,70,185,--,--,--,20122013,N,15,1,1,2
John Albert,L,C,1989-01-19,Cleveland,OH,USA,USA,71,179,2007,6,175,20132014,N,9,1,0,1
Andrew Alberts,L,D,1981-06-30,Minneapolis,MN,USA,USA,77,218,2001,6,179,20052006,N,196,6,17,23
Daniel Alfredsson,R,R,1972-12-11,Gothenburg,--,SWE,SWE,71,203,1994,6,133,19951996,N,314,89,147,236
Akim Aliu,R,R,1989-04-24,Okene,--,NGA,NGA,76,225,2007,2,56,20112012,N,7,2,1,3
Frederic Allard,R,D,1997-12-27,St. Sauveur,QC,CAN,CAN,73,179,2016,3,78,20202021,N,1,0,0,0
Bryan Allen,L,D,1980-08-21,Kingston,ON,CAN,CAN,77,223,1998,1,4,20002001,N,348,9,53,62
Conor Allen,L,D,1990-01-31,Chicago,IL,USA,USA,73,210,--,--,--,20132014,N,7,0,0,0
Wade Allison,R,R,1997-10-14,Carman,MB,CAN,CAN,74,205,2016,2,52,20202021,N,10,2,0,2
Cody Almond,L,C,1989-07-24,Calgary,AB,CAN,CAN,74,199,2007,5,140,20092010,N,25,2,0,2
Adam Almquist,L,D,1991-02-27,Jönköping,--,SWE,SWE,71,174,2009,7,209,20132014,N,2,1,0,1
Mark Alt,R,D,1991-10-18,Kansas City,MO,USA,USA,76,201,2010,2,53,20142015,N,20,0,0,0
Karl Alzner,L,D,1988-09-24,Burnaby,BC,CAN,CAN,75,213,2007,1,5,20082009,N,656,19,106,125
Michael Amadio,R,C,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,204,2014,3,90,20172018,N,173,16,24,40
Joey Anderson,R,R,1998-06-19,Roseville,MN,USA,USA,71,190,2016,3,73,20182019,N,53,8,5,13
